duration,write_percentage,transaction_size,transaction_count
2253,0,100000,100
3042,10,100000,100
3525,20,100000,100
3924,30,100000,100
4291,40,100000,100
4453,50,100000,100
5440,60,100000,100
5861,70,100000,100
5697,80,100000,100
6136,90,100000,100
