duration,write_percentage,transaction_size,transaction_count
7869,0,100000,100
9084,10,100000,100
9829,20,100000,100
10673,30,100000,100
11169,40,100000,100
11902,50,100000,100
12838,60,100000,100
13612,70,100000,100
14347,80,100000,100
14897,90,100000,100
