duration,write_percentage,transaction_size,transaction_count
2747,0,100000,100
5307,10,100000,100
7437,20,100000,100
9679,30,100000,100
11714,40,100000,100
13420,50,100000,100
16466,60,100000,100
18709,70,100000,100
20388,80,100000,100
22950,90,100000,100
