duration,write_percentage,transaction_size,transaction_count
2437,0,100000,100
4025,10,100000,100
5274,20,100000,100
6376,30,100000,100
7318,40,100000,100
8339,50,100000,100
9489,60,100000,100
10494,70,100000,100
11480,80,100000,100
12541,90,100000,100
