duration,write_percentage,transaction_size,transaction_count
4378,0,100000,100
12266,10,100000,100
18560,20,100000,100
22084,30,100000,100
27213,40,100000,100
30832,50,100000,100
33595,60,100000,100
36944,70,100000,100
42149,80,100000,100
50414,90,100000,100
